id,claim,claim_type
3014,Paris is the capital of France.,FACTUAL
3015,Every square is a rectangle.,LOGICAL
3016,Mount Everest is the tallest mountain.,FACTUAL
3017,The Earth is 149.6 million km from the Sun.,NUMERIC
3018,Every square is a rectangle.,LOGICAL
3019,The Olympics were held in Tokyo in 2021.,TEMPORAL
3020,A triangle has 3 sides.,NUMERIC
3021,Mount Everest is the tallest mountain.,FACTUAL
3022,Python is the best language.,OPINION
3023,Water freezes at 0°C.,FACTUAL
3024,Every square is a rectangle.,LOGICAL
3025,India became independent in 1947.,TEMPORAL
3026,India became independent in 1947.,TEMPORAL
3027,15 + 27 = 42.,NUMERIC
3028,A triangle has 3 sides.,NUMERIC
3029,If A>B and B>C then A>C.,LOGICAL
3030,Paris is the capital of France.,FACTUAL
3031,The company was founded in 2010.,TEMPORAL
3032,Water freezes at 0°C.,FACTUAL
3033,15 + 27 = 42.,NUMERIC
3034,Mount Everest is the tallest mountain.,FACTUAL
3035,Every square is a rectangle.,LOGICAL
3036,AI is the greatest invention.,OPINION
3037,India became independent in 1947.,TEMPORAL
3038,15 + 27 = 42.,NUMERIC
3039,All mammals are animals.,LOGICAL
3040,This movie is fantastic.,OPINION
3041,Paris is the capital of France.,FACTUAL
3042,The company was founded in 2010.,TEMPORAL
3043,A triangle has 3 sides.,NUMERIC
3044,AI is the greatest invention.,OPINION
3045,The Earth is 149.6 million km from the Sun.,NUMERIC
3046,The Earth is 149.6 million km from the Sun.,NUMERIC
3047,Python is the best language.,OPINION
3048,The Olympics were held in Tokyo in 2021.,TEMPORAL
3049,15 + 27 = 42.,NUMERIC
3050,If A>B and B>C then A>C.,LOGICAL
3051,The Earth is 149.6 million km from the Sun.,NUMERIC
3052,Water freezes at 0°C.,FACTUAL
3053,Every square is a rectangle.,LOGICAL
3054,The company was founded in 2010.,TEMPORAL
3055,All mammals are animals.,LOGICAL
3056,AI is the greatest invention.,OPINION
3057,This movie is fantastic.,OPINION
3058,The company was founded in 2010.,TEMPORAL
3059,If A>B and B>C then A>C.,LOGICAL
3060,Python is the best language.,OPINION
3061,15 + 27 = 42.,NUMERIC
3062,AI is the greatest invention.,OPINION
3063,If A>B and B>C then A>C.,LOGICAL
3064,The company was founded in 2010.,TEMPORAL
3065,The Olympics were held in Tokyo in 2021.,TEMPORAL
3066,Mount Everest is the tallest mountain.,FACTUAL
3067,This movie is fantastic.,OPINION
3068,15 + 27 = 42.,NUMERIC
3069,This movie is fantastic.,OPINION
3070,AI is the greatest invention.,OPINION
3071,The company was founded in 2010.,TEMPORAL
3072,Mount Everest is the tallest mountain.,FACTUAL
3073,This movie is fantastic.,OPINION
3074,A triangle has 3 sides.,NUMERIC
3075,Every square is a rectangle.,LOGICAL
3076,A triangle has 3 sides.,NUMERIC
3077,The Olympics were held in Tokyo in 2021.,TEMPORAL
3078,Every square is a rectangle.,LOGICAL
3079,India became independent in 1947.,TEMPORAL
3080,Mount Everest is the tallest mountain.,FACTUAL
3081,Paris is the capital of France.,FACTUAL
3082,15 + 27 = 42.,NUMERIC
3083,Paris is the capital of France.,FACTUAL
3084,Water freezes at 0°C.,FACTUAL
3085,15 + 27 = 42.,NUMERIC
3086,Mount Everest is the tallest mountain.,FACTUAL
3087,Every square is a rectangle.,LOGICAL
3088,Every square is a rectangle.,LOGICAL
3089,Python is the best language.,OPINION
3090,This movie is fantastic.,OPINION
3091,Water freezes at 0°C.,FACTUAL
3092,A triangle has 3 sides.,NUMERIC
3093,Paris is the capital of France.,FACTUAL
3094,A triangle has 3 sides.,NUMERIC
3095,All mammals are animals.,LOGICAL
3096,Every square is a rectangle.,LOGICAL
3097,Water freezes at 0°C.,FACTUAL
3098,Python is the best language.,OPINION
3099,If A>B and B>C then A>C.,LOGICAL
3100,Mount Everest is the tallest mountain.,FACTUAL
3101,The company was founded in 2010.,TEMPORAL
3102,Mount Everest is the tallest mountain.,FACTUAL
3103,Water freezes at 0°C.,FACTUAL
3104,Paris is the capital of France.,FACTUAL
3105,AI is the greatest invention.,OPINION
3106,Mount Everest is the tallest mountain.,FACTUAL
3107,A triangle has 3 sides.,NUMERIC
3108,All mammals are animals.,LOGICAL
3109,A triangle has 3 sides.,NUMERIC
3110,A triangle has 3 sides.,NUMERIC
3111,A triangle has 3 sides.,NUMERIC
3112,This movie is fantastic.,OPINION
3113,Mount Everest is the tallest mountain.,FACTUAL
3114,This movie is fantastic.,OPINION
3115,Every square is a rectangle.,LOGICAL
3116,All mammals are animals.,LOGICAL
3117,15 + 27 = 42.,NUMERIC
3118,This movie is fantastic.,OPINION
3119,This movie is fantastic.,OPINION
3120,A triangle has 3 sides.,NUMERIC
3121,This movie is fantastic.,OPINION
3122,The Olympics were held in Tokyo in 2021.,TEMPORAL
3123,This movie is fantastic.,OPINION
3124,The Olympics were held in Tokyo in 2021.,TEMPORAL
3125,Every square is a rectangle.,LOGICAL
3126,The company was founded in 2010.,TEMPORAL
3127,A triangle has 3 sides.,NUMERIC
3128,AI is the greatest invention.,OPINION
3129,Every square is a rectangle.,LOGICAL
3130,The Olympics were held in Tokyo in 2021.,TEMPORAL
3131,If A>B and B>C then A>C.,LOGICAL
3132,All mammals are animals.,LOGICAL
3133,Water freezes at 0°C.,FACTUAL
3134,AI is the greatest invention.,OPINION
3135,AI is the greatest invention.,OPINION
3136,India became independent in 1947.,TEMPORAL
3137,India became independent in 1947.,TEMPORAL
3138,The Earth is 149.6 million km from the Sun.,NUMERIC
3139,Mount Everest is the tallest mountain.,FACTUAL
3140,The company was founded in 2010.,TEMPORAL
3141,Python is the best language.,OPINION
3142,Python is the best language.,OPINION
3143,15 + 27 = 42.,NUMERIC
3144,Water freezes at 0°C.,FACTUAL
3145,India became independent in 1947.,TEMPORAL
3146,The Earth is 149.6 million km from the Sun.,NUMERIC
3147,The company was founded in 2010.,TEMPORAL
3148,15 + 27 = 42.,NUMERIC
3149,The Olympics were held in Tokyo in 2021.,TEMPORAL
3150,Mount Everest is the tallest mountain.,FACTUAL
3151,Every square is a rectangle.,LOGICAL
3152,A triangle has 3 sides.,NUMERIC
3153,Mount Everest is the tallest mountain.,FACTUAL
3154,The Olympics were held in Tokyo in 2021.,TEMPORAL
3155,The Earth is 149.6 million km from the Sun.,NUMERIC
3156,AI is the greatest invention.,OPINION
3157,Python is the best language.,OPINION
3158,India became independent in 1947.,TEMPORAL
3159,This movie is fantastic.,OPINION
3160,Paris is the capital of France.,FACTUAL
3161,The Olympics were held in Tokyo in 2021.,TEMPORAL
3162,If A>B and B>C then A>C.,LOGICAL
3163,Paris is the capital of France.,FACTUAL
3164,AI is the greatest invention.,OPINION
3165,All mammals are animals.,LOGICAL
3166,The company was founded in 2010.,TEMPORAL
3167,Water freezes at 0°C.,FACTUAL
3168,Python is the best language.,OPINION
3169,The Earth is 149.6 million km from the Sun.,NUMERIC
3170,Python is the best language.,OPINION
3171,15 + 27 = 42.,NUMERIC
3172,Mount Everest is the tallest mountain.,FACTUAL
3173,If A>B and B>C then A>C.,LOGICAL
3174,Python is the best language.,OPINION
3175,AI is the greatest invention.,OPINION
3176,The Earth is 149.6 million km from the Sun.,NUMERIC
3177,The Olympics were held in Tokyo in 2021.,TEMPORAL
3178,15 + 27 = 42.,NUMERIC
3179,India became independent in 1947.,TEMPORAL
3180,Every square is a rectangle.,LOGICAL
3181,Mount Everest is the tallest mountain.,FACTUAL
3182,If A>B and B>C then A>C.,LOGICAL
3183,Water freezes at 0°C.,FACTUAL
3184,This movie is fantastic.,OPINION
3185,15 + 27 = 42.,NUMERIC
3186,Every square is a rectangle.,LOGICAL
3187,The Earth is 149.6 million km from the Sun.,NUMERIC
3188,Every square is a rectangle.,LOGICAL
3189,AI is the greatest invention.,OPINION
3190,Python is the best language.,OPINION
3191,AI is the greatest invention.,OPINION
3192,15 + 27 = 42.,NUMERIC
3193,The Olympics were held in Tokyo in 2021.,TEMPORAL
3194,The company was founded in 2010.,TEMPORAL
3195,AI is the greatest invention.,OPINION
3196,Mount Everest is the tallest mountain.,FACTUAL
3197,If A>B and B>C then A>C.,LOGICAL
3198,The Olympics were held in Tokyo in 2021.,TEMPORAL
3199,The Earth is 149.6 million km from the Sun.,NUMERIC
3200,The company was founded in 2010.,TEMPORAL
3201,Water freezes at 0°C.,FACTUAL
3202,The Earth is 149.6 million km from the Sun.,NUMERIC
3203,This movie is fantastic.,OPINION
3204,AI is the greatest invention.,OPINION
3205,All mammals are animals.,LOGICAL
3206,15 + 27 = 42.,NUMERIC
3207,India became independent in 1947.,TEMPORAL
3208,Paris is the capital of France.,FACTUAL
3209,Paris is the capital of France.,FACTUAL
3210,AI is the greatest invention.,OPINION
3211,India became independent in 1947.,TEMPORAL
3212,The company was founded in 2010.,TEMPORAL
3213,Water freezes at 0°C.,FACTUAL
3214,If A>B and B>C then A>C.,LOGICAL
3215,Water freezes at 0°C.,FACTUAL
3216,A triangle has 3 sides.,NUMERIC
3217,AI is the greatest invention.,OPINION
3218,A triangle has 3 sides.,NUMERIC
3219,This movie is fantastic.,OPINION
3220,This movie is fantastic.,OPINION
3221,Python is the best language.,OPINION
3222,A triangle has 3 sides.,NUMERIC
3223,Water freezes at 0°C.,FACTUAL
3224,Python is the best language.,OPINION
3225,AI is the greatest invention.,OPINION
3226,India became independent in 1947.,TEMPORAL
3227,Water freezes at 0°C.,FACTUAL
3228,A triangle has 3 sides.,NUMERIC
3229,This movie is fantastic.,OPINION
3230,Water freezes at 0°C.,FACTUAL
3231,Paris is the capital of France.,FACTUAL
3232,Every square is a rectangle.,LOGICAL
3233,The company was founded in 2010.,TEMPORAL
3234,India became independent in 1947.,TEMPORAL
3235,Water freezes at 0°C.,FACTUAL
3236,All mammals are animals.,LOGICAL
3237,Every square is a rectangle.,LOGICAL
3238,Water freezes at 0°C.,FACTUAL
3239,Every square is a rectangle.,LOGICAL
3240,AI is the greatest invention.,OPINION
3241,15 + 27 = 42.,NUMERIC
3242,This movie is fantastic.,OPINION
3243,Python is the best language.,OPINION
3244,Paris is the capital of France.,FACTUAL
3245,A triangle has 3 sides.,NUMERIC
3246,The Olympics were held in Tokyo in 2021.,TEMPORAL
3247,If A>B and B>C then A>C.,LOGICAL
3248,15 + 27 = 42.,NUMERIC
3249,The company was founded in 2010.,TEMPORAL
3250,The Olympics were held in Tokyo in 2021.,TEMPORAL
3251,India became independent in 1947.,TEMPORAL
3252,This movie is fantastic.,OPINION
3253,Mount Everest is the tallest mountain.,FACTUAL
3254,The Olympics were held in Tokyo in 2021.,TEMPORAL
3255,Mount Everest is the tallest mountain.,FACTUAL
3256,India became independent in 1947.,TEMPORAL
3257,The Earth is 149.6 million km from the Sun.,NUMERIC
3258,Every square is a rectangle.,LOGICAL
3259,15 + 27 = 42.,NUMERIC
3260,Every square is a rectangle.,LOGICAL
3261,Python is the best language.,OPINION
3262,The Earth is 149.6 million km from the Sun.,NUMERIC
3263,A triangle has 3 sides.,NUMERIC
3264,The Earth is 149.6 million km from the Sun.,NUMERIC
3265,The company was founded in 2010.,TEMPORAL
3266,The Olympics were held in Tokyo in 2021.,TEMPORAL
3267,AI is the greatest invention.,OPINION
3268,A triangle has 3 sides.,NUMERIC
3269,A triangle has 3 sides.,NUMERIC
3270,Python is the best language.,OPINION
3271,15 + 27 = 42.,NUMERIC
3272,The company was founded in 2010.,TEMPORAL
3273,AI is the greatest invention.,OPINION
3274,All mammals are animals.,LOGICAL
3275,AI is the greatest invention.,OPINION
3276,India became independent in 1947.,TEMPORAL
3277,Python is the best language.,OPINION
3278,Paris is the capital of France.,FACTUAL
3279,India became independent in 1947.,TEMPORAL
3280,Water freezes at 0°C.,FACTUAL
3281,If A>B and B>C then A>C.,LOGICAL
3282,The Olympics were held in Tokyo in 2021.,TEMPORAL
3283,India became independent in 1947.,TEMPORAL
3284,15 + 27 = 42.,NUMERIC
3285,15 + 27 = 42.,NUMERIC
3286,Mount Everest is the tallest mountain.,FACTUAL
3287,This movie is fantastic.,OPINION
3288,Python is the best language.,OPINION
3289,AI is the greatest invention.,OPINION
3290,AI is the greatest invention.,OPINION
3291,A triangle has 3 sides.,NUMERIC
3292,Water freezes at 0°C.,FACTUAL
3293,Mount Everest is the tallest mountain.,FACTUAL
3294,All mammals are animals.,LOGICAL
3295,Python is the best language.,OPINION
3296,Every square is a rectangle.,LOGICAL
3297,India became independent in 1947.,TEMPORAL
3298,If A>B and B>C then A>C.,LOGICAL
3299,All mammals are animals.,LOGICAL
3300,15 + 27 = 42.,NUMERIC
3301,15 + 27 = 42.,NUMERIC
3302,All mammals are animals.,LOGICAL
3303,The Olympics were held in Tokyo in 2021.,TEMPORAL
3304,A triangle has 3 sides.,NUMERIC
3305,15 + 27 = 42.,NUMERIC
3306,Paris is the capital of France.,FACTUAL
3307,Every square is a rectangle.,LOGICAL
3308,Every square is a rectangle.,LOGICAL
3309,The Olympics were held in Tokyo in 2021.,TEMPORAL
3310,The Earth is 149.6 million km from the Sun.,NUMERIC
3311,All mammals are animals.,LOGICAL
3312,Python is the best language.,OPINION
3313,Every square is a rectangle.,LOGICAL
3314,The Olympics were held in Tokyo in 2021.,TEMPORAL
3315,Python is the best language.,OPINION
3316,Python is the best language.,OPINION
3317,Python is the best language.,OPINION
3318,Mount Everest is the tallest mountain.,FACTUAL
3319,Water freezes at 0°C.,FACTUAL
3320,All mammals are animals.,LOGICAL
3321,A triangle has 3 sides.,NUMERIC
3322,This movie is fantastic.,OPINION
3323,Mount Everest is the tallest mountain.,FACTUAL
3324,Every square is a rectangle.,LOGICAL
3325,Paris is the capital of France.,FACTUAL
3326,The Olympics were held in Tokyo in 2021.,TEMPORAL
3327,If A>B and B>C then A>C.,LOGICAL
3328,The Olympics were held in Tokyo in 2021.,TEMPORAL
3329,The Earth is 149.6 million km from the Sun.,NUMERIC
3330,The company was founded in 2010.,TEMPORAL
3331,Mount Everest is the tallest mountain.,FACTUAL
3332,AI is the greatest invention.,OPINION
3333,Every square is a rectangle.,LOGICAL
3334,All mammals are animals.,LOGICAL
3335,AI is the greatest invention.,OPINION
3336,A triangle has 3 sides.,NUMERIC
3337,AI is the greatest invention.,OPINION
3338,If A>B and B>C then A>C.,LOGICAL
3339,The Olympics were held in Tokyo in 2021.,TEMPORAL
3340,Paris is the capital of France.,FACTUAL
3341,Every square is a rectangle.,LOGICAL
3342,The Earth is 149.6 million km from the Sun.,NUMERIC
3343,Water freezes at 0°C.,FACTUAL
3344,The company was founded in 2010.,TEMPORAL
3345,A triangle has 3 sides.,NUMERIC
3346,Paris is the capital of France.,FACTUAL
3347,Mount Everest is the tallest mountain.,FACTUAL
3348,Every square is a rectangle.,LOGICAL
3349,India became independent in 1947.,TEMPORAL
3350,Python is the best language.,OPINION
3351,Every square is a rectangle.,LOGICAL
3352,Python is the best language.,OPINION
3353,The Earth is 149.6 million km from the Sun.,NUMERIC
3354,This movie is fantastic.,OPINION
3355,Paris is the capital of France.,FACTUAL
3356,The company was founded in 2010.,TEMPORAL
3357,15 + 27 = 42.,NUMERIC
3358,15 + 27 = 42.,NUMERIC
3359,Water freezes at 0°C.,FACTUAL
3360,The Olympics were held in Tokyo in 2021.,TEMPORAL
3361,If A>B and B>C then A>C.,LOGICAL
3362,15 + 27 = 42.,NUMERIC
3363,15 + 27 = 42.,NUMERIC
3364,Mount Everest is the tallest mountain.,FACTUAL
3365,India became independent in 1947.,TEMPORAL
3366,If A>B and B>C then A>C.,LOGICAL
3367,Every square is a rectangle.,LOGICAL
3368,Mount Everest is the tallest mountain.,FACTUAL
3369,All mammals are animals.,LOGICAL
3370,A triangle has 3 sides.,NUMERIC
3371,If A>B and B>C then A>C.,LOGICAL
3372,If A>B and B>C then A>C.,LOGICAL
3373,Mount Everest is the tallest mountain.,FACTUAL
3374,AI is the greatest invention.,OPINION
3375,A triangle has 3 sides.,NUMERIC
3376,The company was founded in 2010.,TEMPORAL
3377,AI is the greatest invention.,OPINION
3378,Paris is the capital of France.,FACTUAL
3379,15 + 27 = 42.,NUMERIC
3380,India became independent in 1947.,TEMPORAL
3381,15 + 27 = 42.,NUMERIC
3382,Python is the best language.,OPINION
3383,The Olympics were held in Tokyo in 2021.,TEMPORAL
3384,Paris is the capital of France.,FACTUAL
3385,Water freezes at 0°C.,FACTUAL
3386,15 + 27 = 42.,NUMERIC
3387,The company was founded in 2010.,TEMPORAL
3388,Python is the best language.,OPINION
3389,AI is the greatest invention.,OPINION
3390,Every square is a rectangle.,LOGICAL
3391,This movie is fantastic.,OPINION
3392,Paris is the capital of France.,FACTUAL
3393,The Olympics were held in Tokyo in 2021.,TEMPORAL
3394,The Olympics were held in Tokyo in 2021.,TEMPORAL
3395,Water freezes at 0°C.,FACTUAL
3396,AI is the greatest invention.,OPINION
3397,The Olympics were held in Tokyo in 2021.,TEMPORAL
3398,15 + 27 = 42.,NUMERIC
3399,The Olympics were held in Tokyo in 2021.,TEMPORAL
3400,This movie is fantastic.,OPINION
3401,AI is the greatest invention.,OPINION
3402,A triangle has 3 sides.,NUMERIC
3403,Paris is the capital of France.,FACTUAL
3404,Python is the best language.,OPINION
3405,AI is the greatest invention.,OPINION
3406,Every square is a rectangle.,LOGICAL
3407,Python is the best language.,OPINION
3408,The Olympics were held in Tokyo in 2021.,TEMPORAL
3409,This movie is fantastic.,OPINION
3410,The company was founded in 2010.,TEMPORAL
3411,Python is the best language.,OPINION
3412,India became independent in 1947.,TEMPORAL
3413,Python is the best language.,OPINION
3414,Every square is a rectangle.,LOGICAL
3415,If A>B and B>C then A>C.,LOGICAL
3416,A triangle has 3 sides.,NUMERIC
3417,A triangle has 3 sides.,NUMERIC
3418,India became independent in 1947.,TEMPORAL
3419,Paris is the capital of France.,FACTUAL
3420,Water freezes at 0°C.,FACTUAL
3421,Mount Everest is the tallest mountain.,FACTUAL
3422,A triangle has 3 sides.,NUMERIC
3423,If A>B and B>C then A>C.,LOGICAL
3424,Water freezes at 0°C.,FACTUAL
3425,The company was founded in 2010.,TEMPORAL
3426,15 + 27 = 42.,NUMERIC
3427,A triangle has 3 sides.,NUMERIC
3428,The Olympics were held in Tokyo in 2021.,TEMPORAL
